Time,Normalised Renewable Production Profile,Normalised Electricity Consumption Profile
2025-02-13T10:00:00Z,0.260670807,0.814364089
2025-02-13T11:00:00Z,0.299279503,0.785396473
2025-02-13T12:00:00Z,0.26757764,0.786608585
2025-02-13T13:00:00Z,0.235180124,0.811936135
2025-02-13T14:00:00Z,0.241093168,0.8220955
2025-02-13T15:00:00Z,0.233937888,0.872489529
2025-02-13T16:00:00Z,0.231701863,0.936791147
2025-02-13T17:00:00Z,0.266236025,0.951396167
2025-02-13T18:00:00Z,0.241937888,0.929798193
2025-02-13T19:00:00Z,0.250881988,0.822692232
2025-02-13T20:00:00Z,0.27826087,0.715299093
2025-02-13T21:00:00Z,0.307975155,0.531748015
2025-02-13T22:00:00Z,0.348223602,0.390356063
2025-02-13T23:00:00Z,0.329987578,0.319643303
2025-02-14T00:00:00Z,0.322583851,0.310356659
2025-02-14T01:00:00Z,0.316074534,0.297851391
2025-02-14T02:00:00Z,0.299627329,0.315592984
2025-02-14T03:00:00Z,0.309763975,0.293659348
2025-02-14T04:00:00Z,0.322832298,0.280236604
2025-02-14T05:00:00Z,0.335055901,0.275559716
2025-02-14T06:00:00Z,0.347031056,0.495310058
2025-02-14T07:00:00Z,0.364173913,0.716313538
2025-02-14T08:00:00Z,0.403627329,0.823203184
2025-02-14T09:00:00Z,0.416099379,0.866171628
2025-02-14T10:00:00Z,0.433838509,0.841824956
2025-02-14T11:00:00Z,0.426534161,0.743576738
2025-02-14T12:00:00Z,0.403279503,0.78137226
2025-02-14T13:00:00Z,0.384397516,0.751949636
2025-02-14T14:00:00Z,0.357515528,0.712744334
2025-02-14T15:00:00Z,0.356173913,0.774539677
2025-02-14T16:00:00Z,0.347677019,0.897966262
2025-02-14T17:00:00Z,0.366658385,0.992902617
2025-02-14T18:00:00Z,0.360447205,0.996800024
2025-02-14T19:00:00Z,0.398708075,0.922357689
2025-02-14T20:00:00Z,0.457440994,0.806949692
2025-02-14T21:00:00Z,0.45157764,0.650452957
2025-02-14T22:00:00Z,0.449043478,0.494605168
2025-02-14T23:00:00Z,0.434236025,0.379935628
2025-02-15T00:00:00Z,0.40173913,0.3604747
2025-02-15T01:00:00Z,0.369888199,0.320870334
2025-02-15T02:00:00Z,0.316770186,0.290112521
2025-02-15T03:00:00Z,0.293515528,0.248303975
2025-02-15T04:00:00Z,0.273043478,0.192431199
2025-02-15T05:00:00Z,0.237167702,0.186635438
2025-02-15T06:00:00Z,0.204024845,0.238017805
2025-02-15T07:00:00Z,0.207254658,0.305586532
2025-02-15T08:00:00Z,0.221118012,0.451054911
2025-02-15T09:00:00Z,0.243428571,0.624942658
2025-02-15T10:00:00Z,0.212322981,0.661854271
2025-02-15T11:00:00Z,0.196720497,0.657237056
2025-02-15T12:00:00Z,0.243279503,0.667456094
2025-02-15T13:00:00Z,0.232745342,0.656386712
2025-02-15T14:00:00Z,0.233540373,0.627717462
2025-02-15T15:00:00Z,0.241987578,0.662753098
2025-02-15T16:00:00Z,0.254906832,0.741969291
2025-02-15T17:00:00Z,0.26489441,0.770258124
2025-02-15T18:00:00Z,0.300819876,0.74523267
2025-02-15T19:00:00Z,0.309118012,0.674665364
2025-02-15T20:00:00Z,0.370335404,0.580698699
2025-02-15T21:00:00Z,0.390956522,0.455660937
2025-02-15T22:00:00Z,0.376795031,0.294274728
2025-02-15T23:00:00Z,0.376,0.19866705
2025-02-16T00:00:00Z,0.360944099,0.206536455
2025-02-16T01:00:00Z,0.362732919,0.211481872
2025-02-16T02:00:00Z,0.379031056,0.173205235
2025-02-16T03:00:00Z,0.374062112,0.13367546
2025-02-16T04:00:00Z,0.40621118,0.094690203
2025-02-16T05:00:00Z,0.435875776,0.08126373
2025-02-16T06:00:00Z,0.509614907,0.124280658
2025-02-16T07:00:00Z,0.591850932,0.14044464
2025-02-16T08:00:00Z,0.66484472,0.249639164
2025-02-16T09:00:00Z,0.697291925,0.37859298
2025-02-16T10:00:00Z,0.689043478,0.450051655
2025-02-16T11:00:00Z,0.698086957,0.453180769
2025-02-16T12:00:00Z,0.690385093,0.484445804
2025-02-16T13:00:00Z,0.630360248,0.496257371
2025-02-16T14:00:00Z,0.615801242,0.526105167
2025-02-16T15:00:00Z,0.599801242,0.571852145
2025-02-16T16:00:00Z,0.588869565,0.668261682
2025-02-16T17:00:00Z,0.590608696,0.794701764
2025-02-16T18:00:00Z,0.645267081,0.759688506
2025-02-16T19:00:00Z,0.626335404,0.656685078
2025-02-16T20:00:00Z,0.643031056,0.577536018
2025-02-16T21:00:00Z,0.646111801,0.455317816
2025-02-16T22:00:00Z,0.638559006,0.328803142
2025-02-16T23:00:00Z,0.629217391,0.288195519
2025-02-17T00:00:00Z,0.593341615,0.258030709
2025-02-17T01:00:00Z,0.506981366,0.252406509
2025-02-17T02:00:00Z,0.447552795,0.214070198
2025-02-17T03:00:00Z,0.402186335,0.193702984
2025-02-17T04:00:00Z,0.389515528,0.197514611
2025-02-17T05:00:00Z,0.38573913,0.303274195
2025-02-17T06:00:00Z,0.381167702,0.510746773
2025-02-17T07:00:00Z,0.427975155,0.663252862
2025-02-17T08:00:00Z,0.409291925,0.710413349
2025-02-17T09:00:00Z,0.415055901,0.707112674
2025-02-17T10:00:00Z,0.438906832,0.644784002
2025-02-17T11:00:00Z,0.444521739,0.626057801
2025-02-17T12:00:00Z,0.413813665,0.621395831
2025-02-17T13:00:00Z,0.421515528,0.630701123
2025-02-17T14:00:00Z,0.435130435,0.625945914
2025-02-17T15:00:00Z,0.433043478,0.755283877
2025-02-17T16:00:00Z,0.474335404,0.858690098
2025-02-17T17:00:00Z,0.541515528,0.946819977
2025-02-17T18:00:00Z,0.605267081,1
2025-02-17T19:00:00Z,0.60442236,0.913447732
2025-02-17T20:00:00Z,0.611975155,0.850447736
2025-02-17T21:00:00Z,0.653763975,0.694562651
2025-02-17T22:00:00Z,0.681391304,0.49749559
2025-02-17T23:00:00Z,0.671751553,0.370570662
2025-02-18T00:00:00Z,0.631403727,0.336277212
2025-02-18T01:00:00Z,0.612273292,0.326419943
2025-02-18T02:00:00Z,0.626285714,0.322764958
2025-02-18T03:00:00Z,0.625490683,0.303304031
2025-02-18T04:00:00Z,0.642186335,0.330421778
2025-02-18T05:00:00Z,0.636571429,0.375971088
2025-02-18T06:00:00Z,0.618136646,0.527854338
2025-02-18T07:00:00Z,0.656447205,0.645790987
2025-02-18T08:00:00Z,0.688397516,0.658661754
2025-02-18T09:00:00Z,0.705689441,0.641781693
2025-02-18T10:00:00Z,0.718360248,0.572818105
2025-02-18T11:00:00Z,0.728298137,0.520742036
2025-02-18T12:00:00Z,0.726708075,0.488212675
2025-02-18T13:00:00Z,0.717763975,0.486993104
2025-02-18T14:00:00Z,0.711304348,0.478549344
2025-02-18T15:00:00Z,0.712149068,0.585957401
2025-02-18T16:00:00Z,0.723478261,0.758744923
2025-02-18T17:00:00Z,0.73515528,0.890835313
2025-02-18T18:00:00Z,0.78226087,0.899719163
2025-02-18T19:00:00Z,0.827826087,0.781980181
2025-02-18T20:00:00Z,0.837068323,0.646533173
2025-02-18T21:00:00Z,0.846708075,0.489976765
2025-02-18T22:00:00Z,0.836869565,0.328217598
2025-02-18T23:00:00Z,0.840347826,0.218105599
2025-02-19T00:00:00Z,0.828124224,0.248117497
2025-02-19T01:00:00Z,0.824,0.21458488
2025-02-19T02:00:00Z,0.848149068,0.202821797
2025-02-19T03:00:00Z,0.844968944,0.208363947
2025-02-19T04:00:00Z,0.84178882,0.184006087
2025-02-19T05:00:00Z,0.848944099,0.200438598
2025-02-19T06:00:00Z,0.83910559,0.417652829
2025-02-19T07:00:00Z,0.856795031,0.566373398
2025-02-19T08:00:00Z,0.833689441,0.698929985
2025-02-19T09:00:00Z,0.784695652,0.732757238
2025-02-19T10:00:00Z,0.754832298,0.709898667
2025-02-19T11:00:00Z,0.740074534,0.692160804
2025-02-19T12:00:00Z,0.761490683,0.703476338
2025-02-19T13:00:00Z,0.761093168,0.705542523
2025-02-19T14:00:00Z,0.754236025,0.700932767
2025-02-19T15:00:00Z,0.756720497,0.687155714
2025-02-19T16:00:00Z,0.767900621,0.73661362
2025-02-19T17:00:00Z,0.794434783,0.833011968
2025-02-19T18:00:00Z,0.784944099,0.833194717
2025-02-19T19:00:00Z,0.790509317,0.757525352
2025-02-19T20:00:00Z,0.800198758,0.596336811
2025-02-19T21:00:00Z,0.813416149,0.424466764
2025-02-19T22:00:00Z,0.819130435,0.282325167
2025-02-19T23:00:00Z,0.835776398,0.155754549
2025-02-20T00:00:00Z,0.863354037,0.182089085
2025-02-20T01:00:00Z,0.874881988,0.209874425
2025-02-20T02:00:00Z,0.889888199,0.202385437
2025-02-20T03:00:00Z,0.887751553,0.215718671
2025-02-20T04:00:00Z,0.902062112,0.224285506
2025-02-20T05:00:00Z,0.910111801,0.240125015
2025-02-20T06:00:00Z,0.912,0.311594879
2025-02-20T07:00:00Z,0.919801242,0.347275731
2025-02-20T08:00:00Z,0.930186335,0.444002283
2025-02-20T09:00:00Z,0.91021118,0.499927273
2025-02-20T10:00:00Z,0.904596273,0.498263882
2025-02-20T11:00:00Z,0.924968944,0.498748727
2025-02-20T12:00:00Z,0.949018634,0.499196276
2025-02-20T13:00:00Z,0.950658385,0.494437338
2025-02-20T14:00:00Z,0.947428571,0.474562428
2025-02-20T15:00:00Z,0.935354037,0.466655727
2025-02-20T16:00:00Z,0.939925466,0.500430766
2025-02-20T17:00:00Z,0.934608696,0.615156251
2025-02-20T18:00:00Z,0.875925466,0.638391509
